OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
5822,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438423.82,4473835.27,-372575966,40.41286154,
5823,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437736.45,4473786.31,-373385584,40.41236935,
5824,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438097.3505,4473358.396,-372956086,40.40854144,
5825,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438097.4753,4473358.876,-372955944,40.40854577,
5826,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437997.86,4473430.77,-373074038,40.40918601,
5827,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437231.58,4472973.38,-373972573,40.40500823,
5828,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437997.86,4473430.77,-373074038,40.40918601,
5829,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437997.86,4473430.77,-373074038,40.40918601,
5830,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437956.97,4473550.92,-373123398,40.41026533,
5831,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438617.7,4473543.65,-372344656,40.41024882,
5832,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438617.7,4473543.65,-372344656,40.41024882,
5833,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437231.58,4472973.38,-373972573,40.40500823,
5834,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438617.7,4473543.65,-372344656,40.41024882,
5835,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437956.97,4473550.92,-373123398,40.41026533,
5836,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437903.76,4473907.2,-373189583,40.41347088,
5837,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437588.43,4473198.07,-373554261,40.40705916,
5838,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438336.05,4473595.6,-372677084,40.41069599,
5839,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437903.76,4473907.2,-373189583,40.41347088,
5840,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438336.05,4473595.6,-372677084,40.41069599,
5841,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438336.05,4473595.6,-372677084,40.41069599,
5842,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438146.09,4473528.23,-372900299,40.410075,
5843,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438146.09,4473528.23,-372900299,40.410075,
5844,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437557.45,4473075.44,-373589566,40.40595213,
5845,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437868.9,4473413.54,-373225847,40.40902118,
5846,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437450.14,4473693.71,-373722100,40.41151371,
5847,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437868.9,4473413.54,-373225847,40.40902118,
5848,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437868.9,4473413.54,-373225847,40.40902118,
5849,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437450.14,4473693.71,-373722100,40.41151371,
5850,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437642.32,4473113.22,-373489924,40.40629883,
5851,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437642.32,4473113.22,-373489924,40.40629883,
5852,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438072.96,4473279.24,-372984060,40.40782655,
5853,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437488.17,4473307.85,-373673491,40.40804058,
5854,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437488.17,4473307.85,-373673491,40.40804058,
5855,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438072.96,4473279.24,-372984060,40.40782655,
5856,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437782.98,4473370.82,-373326684,40.40862992,
5857,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437419.95,4473677.04,-373757516,40.41136127,
5858,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437773.95,4473845.44,-373341967,40.41290483,
5859,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437773.95,4473845.44,-373341967,40.41290483,
5860,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437534.52,4473630.73,-373622039,40.4109527,
5861,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437534.52,4473630.73,-373622039,40.4109527,
5862,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437534.52,4473630.73,-373622039,40.4109527,
5863,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437277.7,4473162.24,-373920086,40.40671303,
5864,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436630.49,4473058.11,-374681744,40.40572597,
5865,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437277.7,4473162.24,-373920086,40.40671303,
5866,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436424.81,4471942.32,-374912978,40.3956588,
