mes,año,distrito,suma_residuos
ABRIL,2024,CENTRO ,656.795
ABRIL,2024,TETUÁN,561.7209999999999
ABRIL,2024,CHAMBERÍ,650.28
ABRIL,2024,ARGANZUELA,301.32
ABRIL,2024,RETIRO,777.126
ABRIL,2024,SALAMANCA,863.9800000000001
ABRIL,2024,CHAMARTÍN,821.0680000000001
ABRIL,2024,FUENCARRAL,397.06
ABRIL,2024,MONCLOA,471.02
ABRIL,2024,LATINA,1068.8200000000002
ABRIL,2024,CIUDAD LINEAL,420.475
ABRIL,2024,HORTALEZA,332.73
ABRIL,2024,SAN BLAS,306.23199999999997
ABRIL,2024,BARAJAS,165.489
ABRIL,2024,PUENTE DE VALLECAS ,419.417
ABRIL,2024,VILLA DE VALLECAS ,145.048
ABRIL,2024,MORATALAZ,112.893
ABRIL,2024,VICÁLVARO,75.412
ABRIL,2024,CARABANCHEL,228.581
ABRIL,2024,USERA,216.661
ABRIL,2024,VILLAVERDE,190.818
MAYO,2024,CENTRO ,664.465
MAYO,2024,TETUÁN,609.669
MAYO,2024,CHAMBERÍ,738.18
MAYO,2024,ARGANZUELA,296.8
MAYO,2024,RETIRO,793.7800000000001
